"Part";"Value";"Device";"Package";"Description";"POPULARITY";"SPICEPREFIX";
"R22";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R23";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R24";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R25";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R26";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R27";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R28";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R29";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R30";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R31";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R32";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R33";"200k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R34";"200k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R35";"200k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R36";"200k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R37";"39k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R38";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R39";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R40";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R41";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R42";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R43";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"36";"R";
"R44";"500k";"TRIM_US-RS3";"RS3";"POTENTIOMETER";"0";"";
"T1";"2SA1015";"-PNP-TO92";"TO92";"PNP Transistror";"0";"";
"T2";"2SC1815";"2SC1815";"TO92-ECB";"NPN EPITAXIAL TRANSISTOR";"7";"";
"T3";"2SC1815";"2SC1815";"TO92-ECB";"NPN EPITAXIAL TRANSISTOR";"7";"";
"T4";"2SC1815";"2SC1815";"TO92-ECB";"NPN EPITAXIAL TRANSISTOR";"7";"";
"T5";"2SC1815";"2SC1815";"TO92-ECB";"NPN EPITAXIAL TRANSISTOR";"7";"";
"T6";"2SC1815";"2SC1815";"TO92-ECB";"NPN EPITAXIAL TRANSISTOR";"7";"";
