Ref,Val,Package,PosX,PosY,Rot,Side
"C12","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",35.060000,-104.230000,20.000000,bottom
"C13","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",26.700000,-51.790000,80.000000,bottom
"C14","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",21.640000,-51.100000,270.000000,bottom
"C15","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",23.640000,-114.240000,50.000000,bottom
"C16","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.880000,-67.970000,120.000000,bottom
"C17","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",40.660000,-62.350000,30.000000,bottom
